,idx,Review,Rating,Length
90,90,sloppily write cast believe anyone central creation bugsy caterer,0,9
91,91,alternate facetious comic parody pulp melodrama smartaleck movie toss around intrigue question difference human android life,1,16
92,92,strungtogether moments,0,2
93,93,generous subversive artworks,1,3
94,94,nt follow stale standard connectthedots storyline become commonplace movies explore seamy underbelly criminal world,1,14
95,95,funny yet,1,2
96,96,overbear overthetop,0,2
97,97,robert duvall,1,2
98,98,rich sudden wisdom,1,3
99,99,act direct clear washington certainly new career ahead,1,8
100,100,memory,1,1
101,101,respectable new one,1,3
102,102,yet grate showcase,0,3
103,103,hate tear eye away image long enough read subtitle,1,9
104,104,addition sport one worst title recent cinematic history,0,8
105,105,genderbending comedy generally quite funny,1,5
106,106,build robots haul em theater late show put mystery science theatre 3000 tribute almost certainly go go worst killer website movie year,0,22
107,107,nt work concert,0,3
108,108,direction fluid nononsense authority performances harris phifer cam ron seal deal,1,11
109,109,would like go one step,1,5
110,110,harsh work piece storytelling,0,4
111,111,hawaiian shirt,1,2
112,112,take classic story cast attractive talented actors use magnificent landscape create feature film wickedly fun watch,1,16
113,113,provide keenest pleasures,1,3
114,114,altogether slight call kind masterpiece,0,5
115,115,grievous,0,1
116,116,laugh maybe twice completely forget movie time get back car park lot,0,12
117,117,hopeless,0,1
118,118,unpretentious charm quirky original,1,4
119,119,nick steinberg match creations pure venality give old college try,0,10
120,120,wellwritten wellacted,1,2
121,121,nt many conclusive answer film,0,5
122,122,clumsy dialogue heavyhanded phoneyfeeling sentiment,0,5
123,123,prove lovely trifle unfortunately little love cuteness,0,7
124,124,bring tissue,1,2
125,125,film midtolow budget betray surprisingly shoddy makeup work,0,8
126,126,bring proper conviction role jason bourne,1,6
127,127,young woman great charm generosity diplomacy,1,6
128,128,something poignant artist 90plus years take effort share impressions life loss time art us,1,14
129,129,silly,0,1
130,130,cinematic bon bons,1,3
131,131,supremely unfunny unentertaining watch middleage,0,5
132,132,lively engage examination similar obsessions dominate family,1,7
133,133,irritate,0,1
134,134,collapse,0,1
135,135,many challenge pose one forgive film flaw,1,7
136,136,serve workable primer region recent history would make terrific 10thgrade learn tool,1,12
137,137,wideawake way,1,2
138,138,vainly think,0,2
139,139,one big excuse play one lewd scene another,0,8
140,140,effective stick,1,2
141,141,underscore importance family tradition familial community,1,6
142,142,deliver promise look wild ride ensue brash young men set conquer online world laptops cell phone sketchy business plan,1,19
143,143,watch digitaleffectsheavy suppose familyfriendly comedy,0,5
144,144,absolutely completely ridiculous,0,3
145,145,tasteful rock roll movie,1,4
146,146,movie almost completely lack suspense surprise consistent emotional conviction,0,9
147,147,realistic portrayal,1,2
148,148,try grab lump playdoh harder liman try squeeze story,0,9
149,149,wellthought stunt,1,2
150,150,reveal important special talents put service others,1,7
151,151,lika da,0,2
152,152,welcome relief,1,2
153,153,promise digital filmmaking,1,3
154,154,one could easily wait pay per view dollar,0,8
155,155,justify theatrical simulation death camp auschwitz iibirkenau,0,7
156,156,extraordinary faith,1,2
157,157,see film will champion fallibility human heart,1,7
158,158,sometimes beautiful adaptation,1,3
159,159,interest,0,1
160,160,caruso sometimes descend subtarantino cuteness part make sure salton sea work way good noir keep tight nasty,1,17
161,161,overlong bombastic,0,2
162,162,derivative hammily,0,2
163,163,audacious outrageous,1,2
164,164,best moments,1,2
165,165,disney ransack archive quickbuck sequel,0,5
166,166,final beautiful scene,1,3
167,167,movies suck despite flaw,1,4
168,168,eat meddle argue laugh kibbitz fight,1,6
169,169,problem film whether ambition laudable justify theatrical simulation death camp auschwitz iibirkenau,0,12
170,170,compel,1,1
171,171,infectiously,1,1
172,172,picture run mere 84 minutes glance,1,6
173,173,think dog movie,0,3
174,174,remarkable procession sweep picture reinvigorate romance genre,1,7
175,175,soso film could much better,0,5
176,176,passable date film,1,3
177,177,imax short,1,2
178,178,hate,0,1
179,179,pleasant enough ooze attractive men,1,5
180,180,one involve save dash show slightest aptitude act,0,8
181,181,wildly uneven movie,0,3
182,182,poke provoke take expressionistic license,1,5
183,183,like one spear music videos content except go least 90 minutes worse pay want see,0,15
184,184,color depth rather good time,1,5
185,185,silly outrageous ingenious,1,3
186,186,able hit 15year old 100,0,5
187,187,story trouble every day sketchy amount little preliminary note sciencefiction horror film movie fragmentary narrative style make piece story together frustrate difficult,0,22
188,188,year best unpredictable comedy,1,4
189,189,start bad feel like run scream,0,6
190,190,men black ii achieve ultimate insignificance scifi comedy spectacle whiffleball epic,0,11
191,191,elvira fan could hardly ask,1,5
192,192,good one,1,2
193,193,plod picture,0,2
194,194,character dramas never reach satisfy conclusions,0,6
195,195,lose translation time,0,3
196,196,speak force ponder anew movie,1,5
197,197,enable shafer navigate space large small considerable aplomb,1,8
198,198,plot cobble together largely flat uncreative moments,0,7
199,199,inane awful,0,2
200,200,tell scatter fashion,0,3
201,201,take chance bold studio standards,1,5
202,202,believe jason actually take backseat film special effect,0,8
203,203,thing fear fear dot com,0,5
204,204,whole mess,0,2
205,205,manage infuse rocky path sibling reconciliation flash warmth gentle humor,1,10
206,206,work surprisingly sensitive script cowritten gianni romoli ozpetek avoid pitfalls expect potentially sudsy setup,1,14
207,207,résumé load credit like girl bar 3,0,7
208,208,enjoy ride,1,2
209,209,little add beyond dark visions already relay superb recent predecessors,0,10
210,210,yes snaillike pace,0,3
211,211,extremely unpleasant film,0,3
212,212,nt entirely persuasive give exposure talented performers,1,7
213,213,whole affair true story feel incredibly hokey,0,7
214,214,things see,0,2
215,215,poignant leaven,1,2
216,216,breathless anticipation,1,2
217,217,significantly better,1,2
218,218,predictable tide,0,2
219,219,bewilderingly brilliant entertain,1,3
220,220,smooth professional,1,2
221,221,unassuming subordinate,0,2
222,222,horror,0,1
223,223,technically superb film,1,3
224,224,positive change tone seem recharge,1,5
225,225,pay earnest homage turntablists beat jugglers old schoolers current innovators,1,10
226,226,dim,0,1
227,227,vicious absurd,0,2
228,228,act goofy time,0,3
229,229,kinetic life teem even cranky adults may rediscover quiver kid inside,1,11
230,230,laughable compulsively watchable,1,3
231,231,merit 103minute length,1,3
232,232,value respect term epic cinema,1,5
233,233,dentist wait room,0,3
234,234,show honest emotions,1,3
235,235,amazingly lame,0,2
236,236,confessions may straightforward bio,0,4
237,237,seem disappointingly thin slice lowerclass london life despite title amount surprisingly little,0,12
238,238,story bogus,0,2
239,239,comic gem delightful derivative,1,4
240,240,spare wildlife,1,2
241,241,ugly shabby digital photography,0,4
242,242,understand difference dumb fun plain dumb,0,6
243,243,traditionally structure,1,2
244,244,frida nt much different many hollywood romance,0,7
245,245,point way adventurous indian filmmakers toward crossover nonethnic market,1,9
246,246,worth price admission gory mayhem idea good time,1,8
247,247,produce jerry bruckheimer direct joel schumacher reflect worst shallow style wildly overproduce inadequately motivate every step way demographically target please every one one,0,23
248,248,carnage,0,1
249,249,degrade handheld blair witch videocam footage,0,6
250,250,second fiddle,0,2
251,251,folly superficiality,0,2
252,252,serve autocritique clumsiness damn censure,0,5
253,253,tedious norwegian offer somehow snag oscar nomination,0,7
254,254,esther kahn unusual unfortunately also irritate,0,6
255,255,stylish exercise,1,2
256,256,halfway picture begin hate,0,4
257,257,setup easy border facile,0,4
258,258,thoroughly awful movie,0,3
259,259,take hold grip hard,1,4
260,260,look smeary blurry point distraction,0,5
261,261,picture fascinate byways,1,3
262,262,gun cheatfully film martial arts disintegrate bloodsucker computer effect jag camera move,0,12
263,263,breezy distract rhythms,0,3
264,264,mess,0,1
265,265,evanescent seamless sumptuous stream,1,4
266,266,slick manufacture claim street credibility,1,5
267,267,take care nicely perform quintet actresses,1,6
268,268,valuable message,1,2
269,269,small part thank lau,1,4
270,270,two guy desperately want quentin tarantino grow,0,7
271,271,new plot conceptions,0,3
272,272,essentially collection bits,0,3
273,273,nt bode well rest,0,4
274,274,elevate kind movie,1,3
275,275,usual worst,0,2
276,276,hugh grant good line charm,1,5
277,277,arrive early stay late,1,4
278,278,panamerican movie moments genuine insight urban heart,1,7
279,279,could use two hours better watch john malkovich,0,8
280,280,shoot artful watery tone blue green brown,1,7
281,281,unorthodox little film noir organize crime story include one strangest,1,10
282,282,considerable aplomb,1,2
283,283,act diane lane richard gere,1,5
284,284,scant,0,1
285,285,admittedly middle film,1,3
286,286,ludicrous,0,1
287,287,rock fight skills line steven seagal,1,6
288,288,rich full,1,2
289,289,warm water red bridge celebration feminine energy tribute power women heal,1,11
290,290,use sensational reallife 19thcentury crime metaphor,1,6
291,291,home movie leave want mention leave laugh smile face,1,9
292,292,film retain ambiguities make well worth watch,1,7
293,293,ultracheesy dialogue,0,2
294,294,add depth resonance,1,3
295,295,sensational,1,1
296,296,hugescreen format make oldfashioned nature film educate viewers word picture entertain,1,11
297,297,handsome unfulfilling suspense drama,0,4
298,298,good either,0,2
299,299,charmless,0,1
300,300,make unusual pleasantly haunt debut behind camera,1,7
301,301,fine rouse grate family film aim mainly little kid plenty entertainment value keep grownups squirm seat,1,16
302,302,everything girls ca nt swim even passages sensitive observation feel secondhand familiar good way,0,14
303,303,cast spot,1,2
304,304,ugly digital video,0,3
305,305,love players bring fore gift nononsense human be stillinestimable contribution make share history,1,13
306,306,rather choppy,0,2
307,307,become one dumb high school comedy sex gag prom date,0,10
308,308,demand receive excellent performances,1,4
309,309,xxx blast adrenalin,1,3
310,310,pure escapism,1,2
311,311,create film merely kick undead,1,5
312,312,love culture,1,2
313,313,worse,0,1
314,314,horrify,0,1
315,315,mourn tragedies private,0,3
316,316,action scenes poorly deliver,0,4
317,317,bad,0,1
318,318,bad,0,1
319,319,84 minutes short,1,3
320,320,dabble around never gain much momentum,0,6
321,321,masterpiece,1,1
322,322,lot cast juliette binoche sand bring role pale dark beauty characteristic warmth,1,12
323,323,nt leave much,0,3
324,324,good act,1,2
325,325,like jaglom film honestly affect,1,5
326,326,marivaux rhythms mira sorvino limitations classical actress,0,7
327,327,less successful level,0,3
328,328,still quite worth see,1,4
329,329,intelligent move,1,2
330,330,appear miserable throughout swagger scenes,0,5
331,331,men,1,1
332,332,accomplish sequels,1,2
333,333,clunky tvmovie approach detail chapter life celebrate irish playwright poet drinker,0,11
334,334,sure half dragonfly worse part nothing happen part something happen,0,10
335,335,exhilarate funny fun,1,3
336,336,bind appeal women look howlingly trashy time,1,7
337,337,never quite make grade tawdry trash,0,6
338,338,right stuff silly summer entertainment enough laugh sustain interest end,1,10
339,339,endear care,1,2
340,340,seagal look like danny aiello days,1,6
341,341,enactments however fascinate may history crude serve work especially well,0,10
342,342,everything ambitious comic escapade work coppola along sister sofia real filmmaker,1,11
343,343,dehumanize egodestroying process,0,3
344,344,taboo subject matter,0,3
345,345,see,1,1
346,346,utterly incompetent conclusion,0,3
347,347,always part part wilde droll whimsy help earnest overcome weaknesses parker creative interference,1,13
348,348,find root gai character avoid fate befall every carmen,1,9
349,349,run cover,0,2
350,350,low budget,0,2
351,351,deceptively casual ode,1,3
352,352,walk mutter word like horrible terrible,0,6
353,353,help chicago make transition stage screen considerable appeal intact,1,9
354,354,ellen pompeo sit next ride,1,5
355,355,giant step backward,0,3
356,356,true fan,1,2
357,357,copy,0,1
358,358,quite rich excite,1,3
359,359,luminous interview amazingly evocative film three decades ago,1,8
360,360,lynch jeunet von trier fail find spark,0,7
361,361,ca nt help get catch thrill company astonish growth,1,9
362,362,freeze tundra soap opera,0,4
363,363,showdown,1,1
364,364,simply overdo,0,2
365,365,greatly,1,1
366,366,free,1,1
367,367,intrigue species,1,2
368,368,try evade,0,2
369,369,scherfig successful career tv,1,4
370,370,watch leave giddy,1,3
371,371,beautifully act direct clear washington certainly new career ahead choose,1,10
372,372,far tamer,0,2
373,373,outrageously creative action,1,3
374,374,purely enjoyable satisfy even,1,4
375,375,never question things turn,0,4
376,376,open new wound,0,3
377,377,despite suffer senseofhumour failure,0,4
378,378,story,1,1
379,379,addition hoffman powerful act clinic,1,5
380,380,right stuff,1,2
381,381,wonderful cinematography naturalistic act,1,4
382,382,highconcept film,1,2
383,383,sleepwalk vulgarities sequel refuse,0,4
384,384,reason,0,1
385,385,film confuse one level another make ararat far demand need,0,10
386,386,invigorate surreal resonant,1,3
387,387,chateau sense lightheartedness make attractive throughout,1,6
388,388,passion material,1,2
389,389,maybe formula filmmaking nothing wrong film wellcrafted one,1,8
390,390,movie ca nt get sufficient distance leroy,0,7
391,391,romanticize render,1,2
392,392,terrific rachel,1,2
393,393,special effect run gamut cheesy cheesier cheesiest,0,7
394,394,worst film man make women since valley dolls,0,8
395,395,come already recycle time care count,0,6
396,396,awe,1,1
397,397,joyous romp film,1,3
398,398,nonstop hoot,1,2
399,399,partisans sabotage,0,2
400,400,gory scenes torture selfmutilation,0,4
401,401,recent argentine film son bride remind us feelgood movie still show real heart,1,13
402,402,ub equally spoof celebrate outre aspects black culture dorkier aspects white culture even point inseparable two,1,16
403,403,package fascinate timely content come wrap disappointingly generic,0,8
404,404,obscenely bad dark comedy crass,0,5
405,405,naomi watts terrific rachel petite frame vulnerable persona emphasise plight isolation,1,11
406,406,excite,1,1
407,407,schticky,0,1
408,408,best way,1,2
409,409,flamboyant female comics,1,3
410,410,squareness would make darling many kidsandfamilyoriented cable channel,1,8
411,411,less movie appal odoriferous thing,0,5
412,412,film special,1,2
413,413,amaze spiderman,1,2
414,414,stomachturning violence,0,2
415,415,could use little humanity,0,4
416,416,everything,0,1
417,417,acquire undeniable entertainment value slight pale mr broomfield continue force people situations would make lesser men run cover,1,18
418,418,slowmoving policeprocedural thriller,0,3
419,419,bad idea frame one,0,4
420,420,terrific sweatypalmed fun,1,3
421,421,funny joke,1,2
422,422,volletta wallace maternal fury,0,4
423,423,complex story,1,2
424,424,atop wooden dialogue,0,3
425,425,progress lowkey manner risk monotony,0,5
426,426,burn strongest film since brothers mcmullen,1,6
427,427,ca nt miss,1,3
428,428,dover kosashvili outstanding feature debut potent,1,6
429,429,best short story write,1,4
430,430,seek excitement manufacture high drama,0,5
431,431,feeble comedy,0,2
432,432,insult every family,0,3
433,433,essentially empty,0,2
434,434,film problems,0,2
435,435,make big fat greek wed look like apartheid drama,0,9
436,436,even half interest,0,3
437,437,never achieve popularity big fat greek wed,0,7
438,438,auto focus work unusual biopic document male swingers playboy era,1,10
439,439,right merely signpost mark slow linger death imagination,0,8
440,440,appeal character quirk forgive still serious problem,1,7
441,441,often linger long irrelevant engage gradually turn time,0,8
442,442,energy take describe bad,0,4
443,443,wait see,0,2
444,444,could easily call best korean film 2002,1,7
445,445,largestever historical canvas,1,3
446,446,solid cast assure direction complete lack modern day irony,1,9
447,447,comatose ballerinas,0,2
448,448,ohsoimportant,1,1
449,449,road thematic ironies obvious sexual politics smug,0,7
450,450,formulaic equations,0,2
451,451,work humor warmth intelligence capture life interestingly live,1,8
452,452,deserve pass grade,1,3
453,453,gon na like movie,1,4
454,454,simply stupid irrelevant,0,3
455,455,weave elements plot powerfully evocative mood combine heat sexuality haunt sense malaise,1,12
456,456,heavyhanded indictment parental fail,0,4
457,457,felt performances across board,1,4
458,458,seem weird distance,0,3
459,459,finally make movie nt offensive,1,5
460,460,casual fun,1,2
461,461,plod mess,0,2
462,462,weird thing santa clause 2 purportedly children movie nothing engage children emotionally,0,12
463,463,film intimate camera work,1,4
464,464,find wish another movie,0,4
465,465,dishonesty,0,1
466,466,bestial,0,1
467,467,loose collection notsofunny gag scatter moments lazy humor,0,8
468,468,prove distress suspenseful,0,3
469,469,crackle,1,1
470,470,fairly reveal study two main character,1,6
471,471,high drama disneystyle,1,3
472,472,may genial ingenious get job do,1,6
473,473,good action good act good dialogue good pace good cinematography,1,10
474,474,bully husband,0,2
475,475,gaghan throw every suspenseful cliché book nonsensical story,0,8
476,476,darker elements misogyny unprovoked violence suffocate illumination create two daughters,0,10
477,477,ooze chill heartwarming,1,3
478,478,stale retread,0,2
479,479,film teem life reef,1,4
480,480,already thin story boil survive invaders seek existent antivirus,0,9
481,481,quite endear,1,2
482,482,fewer gag break tedium,0,4
483,483,overbear,0,1
484,484,deep deceptions,0,2
485,485,things turn okay,1,3
486,486,paranoid claustrophobia submarine movie unsettle spookiness supernatural,1,7
487,487,grand,1,1
488,488,goodnatured fun find film like tremor,1,6
489,489,better,1,1
490,490,transfix audience,1,2
491,491,move important,1,2
492,492,dope,1,1
493,493,avid interest,1,2
494,494,bless two fine nuanced lead performances,1,6
495,495,true star,1,2
496,496,hamper paralyze selfindulgent script,0,4
497,497,expressly idiots nt care kind sewage shovel mental gullets simulate sustenance,0,11
498,498,haunt punk rock music use video medium could use spirit perception conviction,1,12
499,499,nurse plot hole gap enough pilot entire olympic swim team,0,10
500,500,charm well act,1,3
501,501,bad blend,0,2
502,502,guyinadress genre,1,2
503,503,director claude chabrol become master innuendo,1,6
504,504,rivet,1,1
505,505,excruciatingly unfunny pitifully unromantic,0,4
506,506,war movies,0,2
507,507,inuit masterpiece,1,2
508,508,oscar,1,1
509,509,clichéladen screenplay,0,2
510,510,girlfriends bad wive worse,0,4
511,511,provide much insight,1,3
512,512,easy bore abc,0,3
513,513,wish,1,1
514,514,fluid mesmerize,1,2
515,515,vivid thoughtful unapologetically raw comingofage tale full sex drug rock n roll,1,12
516,516,testament film considerable charm succeed entertain despite play like featurelength sitcom replete stereotypical familial quandaries,1,15
517,517,ransack,0,1
518,518,lack charisma ability carry film admittedly broad shoulder,0,8
519,519,book report,0,2
520,520,leave theater,0,2
521,521,spousal abuse,0,2
522,522,director fake backdrops stately pace,0,5
523,523,diverse astonishingly articulate cast palestinian israeli children,1,7
524,524,anyone suffer film,0,3
525,525,one carry strong sense humanism,1,5
526,526,brilliant touch dragon lose fire midway nearly flicker perfunctory conclusion,0,10
527,527,another entertain romp robert rodriguez,1,5
528,528,direct purpose finesse england roger mitchell handily make move please relatively lightweight commercial fare notting hill commercial fare real thematic heft,1,21
529,529,probably video store christmas,0,4
530,530,funny triumphant,1,2
531,531,underachiever,0,1
532,532,film ideas wry comic mayhem,1,5
533,533,moviegoers real character compel plot,1,5
534,534,dimestore ruminations,0,2
535,535,worth,1,1
536,536,reality show reality show god sake,0,6
537,537,whatever movie sentimental hypocritical lessons sexism true color come various wet tshirt shower scenes,0,14
538,538,cry money back,0,3
539,539,enthral,1,1
540,540,worse part nothing happen part something happen,0,7
541,541,like max rothman future work,0,5
542,542,quirky character engage story,1,4
543,543,throwntogether feel summercamp talent show hastily write underrehearsed arbitrarily plot,0,10
544,544,make kahlo art live,1,4
545,545,bad run,0,2
546,546,may end try drown lake afterwards,0,6
547,547,many pleasures,1,2
548,548,worth search,1,2
549,549,time cast movie hopeless,0,4
550,550,time bomb,0,2
551,551,balance traditional modern stories together manner one never overwhelm,1,9
552,552,surface histrionics fail compensate paperthin characterizations facile situations,0,8
553,553,plumb uncharted depths stupidity incoherence subsophomoric sexual banter,0,8
554,554,sour taste one mouth,0,4
555,555,decent performance,1,2
556,556,familiar predictable 45ths might well come xerox machine rather writerdirector franc,0,11
557,557,headlinefresh thriller set among orthodox jews west bank joseph cedar time favor manage find compel dramatic mean address complex situation without compromise complexity,1,23
558,558,responsible one worst movies one year,0,6
559,559,appal shamelessly manipulative contrive,0,4
560,560,movie love,1,2
561,561,human darkness,0,2
562,562,understand idea exploit molestation laugh funny actually exploit,0,8
563,563,loud shout insult screen,0,4
564,564,long way orwell dark intelligent warn cry 1984,0,8
565,565,comingofage film avoid cartoonish clichés sneer humor genre provide fresh view old type,1,13
566,566,perfect movie,1,2
567,567,ardently waste viewers time gobbler like,0,6
568,568,oscarsweeping franchise predecessor,1,3
569,569,set pretensions deliver big time,1,5
570,570,see many time work word radical suck sentence,0,8
571,571,give enough feel good,1,4
572,572,unexpectedly insightful,1,2
573,573,allen romantic comedies pertinent endure,1,5
574,574,extraordinary film least,1,3
575,575,doubt,0,1
576,576,maudlin,0,1
577,577,wisdom humor subject,1,3
578,578,partyhearty teen flick scald like acid,0,6
579,579,wan thinly sketch story,0,4
580,580,provide funniest moments oddly sweet comedy jokester highway patrolmen,1,9
581,581,romanticcomedy ask question much souvlaki take indigestion set,0,8
582,582,dazzle delight us,1,3
583,583,beneath familiar funny surface far bigger far meaningful story one little green men come earth harvest purpose,1,17
584,584,aspire another best man clone weave theme throughout funny film,1,10
585,585,impress skillfully assemble highly polish professional adaptation chill unsettle manhunter,1,10
586,586,failure construct story even trace dramatic interest,0,7
587,587,also come laziness arrogance thing already know,0,7
588,588,frightful vanity film doubt pay debt miramax felt owe benigni,0,10
589,589,laugh,1,1
590,590,future lizard endeavor need adhere closely laws laughter,0,8
591,591,philosophical void,0,2
592,592,unlikable character selfconscious sense,0,4
593,593,intelligence invention,1,2
594,594,hot hardwood prove man drag funny,0,6
595,595,hopelessly juvenile,0,2
596,596,shakespearean depth breadth,1,3
597,597,unique direct style,1,3
598,598,require give comic slugfest heart,0,5
599,599,feel like nonstop cry attention,0,5
600,600,hip hop beat,1,3
601,601,feel like literary conceits fleshandblood humans,0,6
602,602,explanation,0,1
603,603,funniest,1,1
604,604,chilly remote emotionally distant piece dull tagline,0,7
605,605,start witty sophisticate,1,3
606,606,bargainbasement european pickup,0,3
607,607,really set film apart debrauwer refusal push easy emotional button,1,10
608,608,shin character direction intelligently accomplish,1,5
609,609,tap primal fear young people try cope mysterious brutal nature adults,1,11
610,610,lead group talented friends astray,1,5
611,611,weirdness sake weirdness human nature ingratiate grate,0,7
612,612,gentle mesmerize portrait,1,3
613,613,genial conceit one rare picture root throughout,1,7
614,614,draw audience unexplainable pain eccentricities attach concept loss,1,8
615,615,splice together bits piece midnight run 48 hours matter shrek,0,10
616,616,busy make reference film try film fail heart mind humor,0,10
617,617,lack compassion goodnatured humor level insight make eyre first film something sleeper success,0,13
618,618,handle unexpected way,1,3
619,619,eternally devote insanity black intermittently good time,1,7
620,620,obscenely bad,0,2
621,621,devastatingly,0,1
622,622,nt see point,0,3
623,623,come like bad imitation bard,0,5
624,624,excite imagination tickle funny bone,1,5
625,625,one strengths,1,2
626,626,masterpiece,1,1
627,627,dream hispanic role teethclenching gusto,1,5
628,628,stiff plain bad,0,3
629,629,make live count,1,3
630,630,jolt laugh audience,1,3
631,631,delightful stimulus,1,2
632,632,point,0,1
633,633,isolation frustration,0,2
634,634,win shoot,1,2
635,635,music comic antic perverse pleasure watch disney scrape bottom cracker barrel,0,11
636,636,feel guilty miracle miracles movie flipflop,1,6
637,637,lewis,1,1
638,638,reason anyone bother remember,0,4
639,639,bogdanovich put history perspective via kirsten dunst remarkable performance showcases davies young woman great charm generosity diplomacy,1,17
640,640,father cliché,0,2
641,641,domestic tension unhappiness,0,3
642,642,effort sincere result honest film bleak hardly watchable,0,8
643,643,call best korean film 2002,1,5
644,644,one best rock,1,3
645,645,force watch people unpleasant things,1,5
646,646,holiday box office pie,1,4
647,647,inexpressible drab wannabe,0,3
648,648,hail bullets none ever seem hit,0,6
649,649,like extend openended poem traditionally structure story,1,7
650,650,convince arnie musclefest little much resonance real world events,0,9
651,651,hate,0,1
652,652,mesmerise,1,1
653,653,people love 1989 paradiso prefer new version,1,7
654,654,lot energy,1,2
655,655,success patient viewer,1,3
656,656,tattoo borrow heavily seven silence lamb manage maintain level sophisticate intrigue humanscale character suck audience,1,15
657,657,may burn strongest film since brothers mcmullen,1,7
658,658,turn,0,1
659,659,timely tongueincheek,1,2
660,660,undramatic,0,1
661,661,pile useless actioners,0,3
662,662,morton deserve oscar nomination,1,4
663,663,weirdly engage unpredictable character piece,1,5
664,664,efficiency affection period,1,3
665,665,manage accomplish sequels equal original ways even better,1,8
666,666,work,0,1
667,667,nt merely offensive,0,3
668,668,tell story vietnam war pathology set,1,6
669,669,irrigate souls,1,2
670,670,hint humor,1,2
671,671,big heart,1,2
672,672,rollick adventure mateys regardless age,1,5
673,673,immediate obvious pleasure,1,3
674,674,laugh aplenty bonus viewers nt worry subject fart urine feces semen foul substances overrun modernday comedies,1,16
675,675,one rare film seem though write one somehow manage convince almost everyone put screen,1,14
676,676,make decent intro documentary,1,4
677,677,make us see familiar issue like racism homophobia fresh way,1,10
678,678,film go right edge kill every sense believability,0,8
679,679,beyondlame satire teddy bear picnic rank among pitiful direct debut esteem writeractor,0,12
680,680,emotional seesaw,0,2
