,Rating,Review,Length
76,4,update 62414my 128 gb card stop allow write via cardreaders windows pceither inside several fullsize sd card adapters writeprotect tab either position plug directly microsd slot reader microsd card writeprotect tab quite surprise worry fail find workable solution search online finally put chromebook create new folder stick back windows pc longer give writeprotect error anyone similar problem id recommend something similar put pc laptop camera etc available try write therethis portion review necessarily write update original review 64 gb version card since amazon disallow multiple review consider item portion concern 128 gb version cardi dont need fast card speed card important besides test pc exactly highend therefore didnt count speed result get use usb 20 card adapter think might relevant readers card reach class10 andor uhsi requirements come 23 claim read speed 30 mbs fast file transfer run second pc use different usb 20 card reader none speed even hit 5 mbs seem highly systemdependenti get card week far work select sdxccompatible devices exfatcompatible operate systems sdxccompatible devices panasonic hdctm40 allow card larger 64 gb whatever reason state manual ive confirm card recognize brokencorruptunusable device whereas 64 gb exfat card work fine 128 gb work fine original exfat format toshiba excite 77 android tablet predictably nonsdxccompatible galaxy note 2 though possibly would reformatted fat32 since 64 gb card fat32 work fine thereill update review reflect problems issue etc notice come days weekscrystaldiskmark 303 c 20072013 hiyohiyocrystal dew world url remove per amazon rule mbs 1000000 bytes sata300 300000000 bytessequential read 18694 mbssequential write 11921 mbsrandom read 512kb 18502 mbsrandom write 512kb 0680 mbsrandom read 4kb qd1 3339 mbs 8151 iopsrandom write 4kb qd1 1581 mbs 3861 iopsrandom read 4kb qd32 3151 mbs 7694 iopsrandom write 4kb qd32 1564 mbs 3818 iopstest 1000 mb g 00 001191 gb x5date 20140424 165349os windows xp professional sp3 51 build 2600 x86the follow original review 64 gb version card publish april 24 2013this highquality card ive use variety devices multiple readers different pcs hd camcorder use micro fullsized sd adapter ive never problem even work full capacity microsdhconly devices reformatted fat32 sandisk clip flac player supposedly even psps via proper adapter though havent yet test psp keep anticipate someone come card equal better capacity speed comparable price havent see one yet cheaper id several nowmake sure device handle micro fullsized sdxc card one rare gems state support high sdhc test work sdxc card one theyve manually reformatted fat32,404
77,4,work great phone wife love get second mom store lot picture videos,12
78,4,load card home movies samsung galaxy tab 2 copy process computer card fast skip movie quality plenty room leave go wish buy another collections,24
79,4,buy s3 load 4 season futurama 5 full length hd movies several documentaries dozen 30 minute comedy show plenty room leave picture etconly slight nitpick boot recovery mode s3 recognize card want update phone latest version android would see resort 2gb microsd lay around wasnt sd card issue think would throw,51
80,4,purchase wife buy samsung galaxy s4 store music picture videos s4 camera capable capture 16megapixels photos 16gb microsd suffice matter fact ive already exhaust remain space card 64gb allow take photos son,32
81,4,great storage fail yet year usage,6
82,4,since wife use cause problems must function normally look good far,11
83,4,class 10 speed way fly 2971gb usable space think good,10
84,4,subject say suppose great price sale buy,7
85,4,lot question memory card fit samsung galaxy tab 3 101 tablet fit work problem thing instal instead show 64gb available show 59gbtried format card resultshave idea limit set galaxy tab 3 tablet 34normal34 buy 64gb get less thatas surely problem come sandisk memory card rat 5star excellent price work great quick delivery,52
86,4,come kind flash storage sandisk always go brand sell quality items stand theres problem usual complaints work descry havent issue read write speed right specs say,26
87,4,high speed high capacity storage great durability use phone digital camera work good,13
88,4,memory help keep want keep cell phoneit good brand right price,11
89,3,buy sd card android phone think class 10 faster reliable others turn difference class doesnt really matter least android phone didnt really worth price difference,25
90,4,sandisk 32gb micro sd class 10 reliable sd card amaze transfer speed noticeable lag transfer even largest raw image hadnt problem,21
91,3,good card work describe havent issue go pass metal detectors lose file miss file,14
92,4,buy store music phone work flawlessly three months far problemsin card reader average 68 megabytes read write,17
93,4,im amaze order amazon tuesday morning arrive wednesdays mail impressive service amazonas already report card format 59 gb perform perfectly samsung galaxy iii also new use two card readers fast pc transfer everything old 16gb card new 64 gb card less time take walk kitchen get cup coffee think class 10 rat correct cardonce experience card phone ill benchmark card ill also benchmark operations internally back android phone card ill update review accurate numerical data mean time first look person say 3 problems anything faster class 6 may correct full backup phone card significantly faster backup old 16gb class 6 card benchmarks yet ill include hereright im happy card im really impress card unbelievably quick service amazon im atlanta shipments like one often take full 3 days arrive,128
94,4,excellent one best cant go wrong card class 10 necessary show noticeable significant improvements class 4,16
95,4,buy 64gb microsd card best buy need one microsoft surface pro provide space need people need lot space videos quick book picture edit game etc card one dont need much space consider buy one cheaper little less memorynote aware microsdxc format card new computers support format many older computers include tablets smartphones buy make sure computer tablet smartphone compatible work period others claim card doesnt work matter try chance machine cannot support microsdxc format,74
96,3,get couldnt pass deal 1799 incredibly fast htc sensation 4g picture take save instantaneously days happy ship fast package easy open always great book issue format computer first phone able recognize,31
97,4,get lot storage small price micro sd adapter class 10 fast happy purchase hope review helpful,16
98,4,ultra micro sdhc fine get work neither package sansa clip player inform user player need totally microcard insert unit read card otherwise love storage even 16 gb let alone 32 tremendous,31
99,4,upgrade price drop originally 16gig sandisk card mytouch 4g find toward mytouch 4gs end life space run low get galaxy s3 buy card work flawlessly highly recommend errors ever super fast transfer rate,33
100,4,item price right fit right cell phone without issue suppose dont know else could say class 10 suppose plenty fast cell phone use sure speed camera use degree work well ship fast,32
101,3,get memory card samsung galaxy s3 run room sandisk 32gb class 4 micro sd card also want faster durable card hop put lot media addition nandroid backups custom roms later find since card format exfat would work make nandroid backups flash custom roms custom recovery custom roms dont work exfat choice format card fat 32 mean couldnt put file larger 4gb besides card great reasonable price 50 one doesnt root phone put custom roms nandroid backups put file larger 4gb affect memory card fast provide storage put mobile device time card also water proof shock proof come lifetime warranty ive never issue sandisk memory card usb flash drive last really long time,112
102,4,use include adaptor macbook pro transfer file impress speed card,10
103,4,get store movies music samsung note iiinot much say memory card except work expect,14
104,4,purchase version expand memory 16gb android tablet nothing fancy job problems play back flawlessly file transferredthere many different microsd card see sale might want consider instead cheaper noname brand,29
105,4,ive order sd card one best overall ship excellent fast reliable would recommend anyone look quality product thank,18
106,4,use phone work totally worth money great place store picture music phone instead use phone memory still run fast,19
107,3,buy two one asus infinity one samsung galaxy s3 international version work fine asus didnt work phone format card use phonethe tablet laptop didnt work test apps use apps nothing show work way get work format canon slr camera,39
108,1,work actual rw speed 188 mbs even class 10 market sandisk basic sandisk ultra unless mean ultra slow 2014 excuse slow card sandisk update redo test notepro 122 instead use non uhsi pc latest result 3286mbs since read speed hit 30 believe device dhsi ready still underwhelmed write speed though,50
109,3,sandisk ultra 32 gb microsdhc c10uhs1 memory card adaptersandisk ultra 32 gb microsdhc c10uhs1 memory card adapterworks fine,18
110,4,great add ton storage smartphone device fast enough need price right,11
111,4,cant possibly go wrong san disc product although purchase son use san disc past never disappoint,16
112,2,job fairly cheap worth return first one exchange another first one defective sandisk really need better quality assurance products second one work perfectly fine use gopro camera,27
113,3,buy sons tablet cartoon videos movies 34all34 game download hes 5 yrs theyll small simple game,16
114,4,buy friend mine put videos initially plug computer couldnt find storage directory however find micro sd usb adapterbingo work like charm install videos plug card phone racesnot sure need adapter couldnt get computer recognize also use linux os go figure,40
115,4,sandisk ultra 64gb micro card great addition maximize samsung galaxy iiis whatever version get 16gb 32gb fast memory great price plenty space picture videos android applications good 1080 videos galaxy iiis use super fast get advance smartphone market memory get right price,42
116,4,instal samsung tablet tab 2 70 definitely performance difference tablet especially load apps,13
117,4,memory work samsung smartphones fast memorysandisk reliable memories market,9
118,4,love good quality good performance great brand could find better product money use samsung galaxy s4 mini zero complications,19
119,4,product arrive two days prime exactly order work great galaxy s3 know class 10 exactly need cell phone cannot hurt right im happy purchase,24
120,4,expand samsung tab 101 tablet 1gb 32gb work fast dont see lag store ten movies tab play right flash disc problemsvery happy card,23
121,4,update provide update regard sandisk supporti buy memory card aug 2012 see original review may 2013 cruise alaska card go bad sail san francisco fine use take panorama shoot golden gate bridge cruise use dslr next time want use cell phone phone tell memory card load way test card laptop get back couldnt recognize contact sandisk via email provide copy receipt amazon along serial number back card hard read problems tell send back card send brand new card still function cell phone great support provide sandisk hassle long provide proof purchase easy since amazon keep entire purchase historyinvoices online one reason buy directly amazon vs vendors either amazon elsewhere internet confidence memory card sell amazon genuine may incredible deal elsewhere internet case deal good true counterfeit card soldoriginal reviewjust receive today remove package insert samsung galaxy s3 verizon power unit back storage available format require work first time settings show 2971gb total space 32gb version 2971gb free space like fact sd adapter come ever need insert card laptop come handy yes plug phone directly laptop ever swap 32gb card phone replace 64gb version use 32gb version via adapter purpose,189
122,2,still dont feel fast phone guess need remove run rw test still ok,13
123,1,buy 64gb version card use gopro hero 3 black edition didnt work card work ok camera set resolution lower bite rat eg work fine 720p protune 1080p protune however 1080p protune bitrate shy 6 mbs mode much higher protune turn nothing trouble camera would sometime work sometime randomly stop record obvious reason first suspect camera test different sd card end sandisks card fault spare card old cheap 16gb pny also class 10 work fine condition camera settingsonce obvious problem card find people gopros forums trouble specific card well well always find figure right anyhow speed test card simple write 1gb file full zero use unix dd utility copy 1gb zero devzero else would find many zero onto file card result average sandisks card would manage 102 mbs barely bar class 10 card however average 1gb write test speed oscillate many spike drop drop low 7mbs uh think write speed class 10 card never dip 10 mbs comparison old cheap class 10 pny card chug along constant 13 mbs test spike drop speedthe card probably work fine devices bitrates record 1080p video often low enough andor camera might huge buffer want use record video high bitrates device doesnt huge buffer compensate speed bump card may run trouble wary use hero3 modes higher bite rat eg 1080p protune enabledsandisks website list part number sdsdqui064g adapter sdsdqua064g without adapter conflict product description amazon likely amazon get product description right bite common thing interest noteupdate apr 20 2013some number test card test extremely simple write 1gb zero onto card use standard unix dd command read 128kb block zero special device devzero write onto card 128kb 8192 1gb dd display transfer stats finish dd run run iostat second terminal display 1 second interval stats measure current speed do mac dd command line use asis repeat test linux system however iostat command different linux would need modify slightly choose 128kb block size seem device drivers merge sequential write anyhow use different block size result comparable dd ifdevzero oftest bs131072 count819281920 record in81920 record out1073741824 bytes transfer 101578307 secs 10570582 bytessecso 10 mbs good right wrong iostat run parallel dd command record iostat w 1 disk2disk2kbt tps mbs12311 76 91211661 185 210412294 49 58812800 41 51212800 89 111112800 134 167312800 69 86112800 61 76212800 99 1236 dd finish write 1gb zero card imo last column never dip 10mbs card label class10for comparison test run samsung pro 64gb microsd card dd ifdevzero oftest bs131072 count819281920 record in81920 record out1073741824 bytes transfer 52869111 secs 20309436 bytessec iostat w 1 disk2disk2kbt tps mbs12530 138 168611773 157 180312304 150 180012800 159 198612800 156 194712645 160 197312800 150 187212800 154 192212800 153 1911 dd finish write 1gb zero card samsung average 2x faster importantly speed much constant critically important never dip 10mbs,460
124,4,else say sandisk ultra 64 gb micro sd xc perfect sandisk card,12
125,4,nan,1
126,4,husband buy gopro use record vacation mexico still half space leave,11
127,4,item ive use months record hd videos gopro hero3 without problems,11
128,4,third purchase 4 theyve work fine far instal smart phone cameras even use portable storage device notice issue good product,20
129,4,love little guy super fast lot space storage plug enjoy,10
130,4,buy gopro hero3 camera silver editionworking without problems fastwas pleasantly surprise good quality memory card adapter turn laptop directly,19
131,4,great addition smart phone huge capacity store data also pretty fast record video lag record,15
132,4,micro sd card well make great read write speed add gray amount memory samsung galaxy s4 really recommend,18
133,4,buy item use gopro hero 3 sell gopro website lot cheaper amazon yet problems card,15
134,4,work perfectly fair price immediately recognize device use good purchase,10
135,4,need little format yet see sandisk fail dont cut corner almost every brand sd card fail except try numerous brand devicesjust remember take bite devices buffer information sd card static corrupt sd card usually easily fix format always back document pcmac soon possibleoh create playlists slideshows etc devices remove sd card device smart enough recompile put sd card back end blank playlists even though songs watch outlastly sd card doesnt work whatever reason google sd card format help 64gb versions dont seem format issue like 32gb ones even format fat32 fix,91
136,4,sandisk company trust offer good product low pricecomes adapter small case get full sd card size keep get lose use,20
137,4,appear class 10 hold much say come sd card adapter even give option forgo ridiculous plastic package know hate ones scissor refuse cut end hurt time get open completely advertise,30
138,4,buy card gopro hero3 work fine people say problems card new gopros problems micro card work anything also take standard card due include adapter,24
139,4,always good experience sandisk products price well instal wifes cell phone immediately recognize quite sure feature chip suppose amount memory good deal extra feature,24
140,4,come nice little adapter microsdhc use normal size sd card also pretty neatconsidering price 24 32gb pretty reasonable class 10 fast hd 1080p video record dslr camerai buy use gopro 3 take picture videos work great didnt give anycorrupted file videos picture yet work pretty good sandisk pretty reliable brand wont able go wrong,54
141,4,great value plenty storage phone tablet look around really good deal,11
142,4,ship fast work really well use case take lot photos load fast,12
143,0,old sandisk sd card still work think new card would reliable wrongthe microsd card fail yesterday inside phone use adapter connect computer wouldnt mounti buy directly amazon third party vendor know genuine sandisk,33
144,4,best price anywhere,3
145,4,buy memory card samsung note 101 amis really happy recommend product please,12
146,4,ship fast product great quality great pricingi like manufacture go order deviceslots space,13
147,3,far good buy samsung micro sd card bestbuy somehow erasedeverything second one hopefully keep stuff,15
148,3,still 26 gb leave come hard case fore protection,9
149,4,im use sd card samsung galaxy s3 instead another one buy manufacture sandisk 32 gb mobile microsdhc flash memory card sdsdq032gaffp httpwwwamazoncomgpproductb007kfxiderefohdetailso04s00i02ieutf8psc1its work perfectly since october 2012,27
150,1,use galaxy note 2 past 16 months sudden longer writable try many ways reformat card even windows say format successful file remain remove reinsert card since private file card im able delete want send back sandisk replacement,37
151,4,usual sandisk quality work expect deliver time problems work great android samsung tablet,13
152,4,put lumix camera work fast great complaints never issue highly recommend brand always come,14
153,4,great product enough capacity deliver performance happy product samsung galaxy s4 phone,12
154,4,get cant beat price sandisk far always reliable two 32gb uhs1 card older 16gb 8gb class 4 class 6 etc sandisk microsds include standard sds usb thumb drive stand test one card think fail still able recover data write anymore im pretty hard rewritable media say,46
155,4,great memory card use along roku3 work great fast transfer rate good capacity reasonable price else could ask,18
156,3,cannot go wrong sandisk date work advertise price wasnt great cost save come amazon great reputation date far concern purchase,20
157,4,awesome card glad able use dslr,6
158,4,great storage size first adopter come think sale price 119 excellent get dupe price since first introduce great action cam battery run run memory,24
159,3,problem storage speed difficulties insert card kingston reader httpwwwamazoncomkingstonflashmemoryreaderfcrhs219dpb00109y2dqrefsr11ieutf8qid1356544341sr81keywordscardreader believ due sticker cover something one side microsd kind problem reader,20
160,3,replace one crap tablet take apps hours time,8
161,4,buy gift hubby seem quite well happy hasnt give issue certainly use lot informationmedia smartphone since techie lol,18
162,4,exactly need galaxy s5 word warningwith kitkat prevent apps edit change delete anything sd card stock apps come phone download ones able trick pics movies whatever copy phone internal storage delete fix come non root work around operate system,39
163,2,work great galaxy s4until didnt work unknown reason use 4 months crap back data things though,16
164,4,use cameras travel 32 gb take bunch accessories also use cell phone,12
165,4,enough storage dslrreally low price class 10 cardu use several make linux base ssd,14
166,4,handy 64gb good size even though many devices claim support 32 gb card many actually support 64g cardi like sandisk brand always trust say dont lemonbut happen everything,28
167,4,buy raspberry pi large enough run full lamp server price speed good bargain,13
168,4,good thank sandiskyou must gopro cam get benefit cam yap,10
169,3,use raspberry pi sd adapter work faralso appear genuine part although prolific sandisk counterfeiters get really sneaky recent yearsi like get microsdhc card adapt different device size example let say buy use phone ereader need memory card im use pi take pis card take adapter put device rather pay money wait week delivery new one,55
170,4,pop move apps card work great video handle quickly apps start fast,12
171,4,great buy work fine use everyday cell phone adapter great move file computer cell phone buy opportunity present,18
172,4,oh wait thisworks s3 samsung galaxyworks note 3 samsungexcellent transfer rat close rat speed 25mbs achievedusing make music collection truly portable nice carry 2 devices anymorehope review help,28
173,3,micro sd card perfect smartphone user look expand storage device personally use one samsung galaxy note 3 work like charm adequately fast cheap fairly reliable look extremely fast speed however consider sandisk extreme series fastest microsd card world card come adapter card plug become full size sd card look use camera device use sd card please look elsewhere card nearly fast full size sd card use cameras adapter use transport data phone device computer great buy smartphone user look higher storage capacity price fluctuate often catch em cheep get mine around 30,92
174,0,buy august 2013 april 2014 card stop function still read write capability go thats less one year im extremely disappoint longevity card usage galaxy s4 40gb data guess im go look another card longer lifespan one,36
175,4,would get anything less 64gb instantaneous movies video music picture android phone thats capable accept micro sd card go ahead get one two,23
176,4,originally buy offbrand card new gs4 price seem good day take lot picturesthey mysteriously vanish since ive good experience sandisk past immediately find card happy sale time buy ive absolutely problems expect continue work long time knock woodbottom linethis quality product dont buy card without respectable brand name,48
177,0,routinely use sdxc card 128gb card unreadable arrival pcs say need format last resort let one try windows 7i7with uptodate sdxc drivers could format way back amazon im glad return easy,31
178,4,always good else say,4
179,4,work expect base price performance may best breed product find sandisk brand dependable,13
180,3,memory card fast class10 card sandisk units rarely lose data wish guy would keep market backside leave white space top could write things cheapobrands big guy idiots,27
181,1,product large disappointmentbought use tablet card forever get corruptedive reformatted card time point even reformat doesnt work waste moneydont recommend purchase,21
182,4,first card order bad tablet computer wouldnt write wouldnt read amazon replace immediately new card perfect read write fast much faster hc phone im glad get hc 1 tablet,29
183,4,purchase could get work discover sandisk app stress work android device worry go get app work,16
184,4,usual anything san dish quality product buy use surface pro work describe fast connection,14
185,4,purchase 2 happy good transfer rat find last sd card cause camera phone delay take shots one allow phone take pics quickly,22
186,4,buy wifes samsung tl240 keep lock lesser speed sd card throw card camera rarely lock take picture backtoback shoot 10 mp take picture backtoback shoot hd vid good idea upgrade class 10 card,33
187,4,samsung galaxy note 2 come 8 gigs internal memory discover apps write internal 8 gigs memory didnt want fill internal memory picture videos music etc purchase 64 gb san disk ultra microsdxc class 10 card find video youtube learn insert card since could find nothing phone user guide real easy turn note phone remove note back plate see plaque say sd card upper leave quadrant phone simply place microsd card face metallic pin face towards right depress slot area leave sd card plaque slowly gently slide microsd card plaque click isnt correctly tend move back plaque force replace back plate phone turn phone go settings storage bottom page see sd card microsd card insert correctly see additional gbs storage display also see reformat sd card remove sd card use settings erase data microsd card remove phone try remove microsd card phone without first activate remove sd card set damage card phone card come quickly san disk reliable brand great class 10 rat,162
188,4,64gbdelivered fast instal quick work like reasonable price wish could get memory note 3so much media,16
189,4,absolutely great product recommend great price use note 101 note 2 phone download lot music movies must,17
190,4,fast memory card room spare amaze price suitable lot smart phone movies fastest storage available today imho,17
191,3,arrive quickly perfect condition work well camera use standard size adapter readable note 8 seem quick enough canon g12 would recommend,21
192,4,big card lot faster card come phone allow switch video take pics faster go get cloud storage program think get couple big card instead make download access chunk data lot easier,31
193,4,buy memory smartphone far suppose remember save,7
194,4,buy one gs3 phone buy wife get one seem work seamlesslyperhaps kill us cheaper per gig smaller gig chip,19
195,4,buy samsung note 2014 ed give plenty data storage use note quick picture edit,14
196,3,buy new samsung galaxy s4 work right away trouble time tell,11
197,3,buy memory card spare samsung tab 2 101 work great allow bring extra movies songs audiobooks play tablet travel vacation,20
198,4,buy add storage sansa fuze mp3 playerthe card format correctly work quite smoothly devicei also try use adapter kodak digital camera recognize instantly picture save quickly allow camera shoot without undue delay,32
199,3,buy use 8 inch onda tablet problems issue instal use three months would recommend others,15
200,4,cant go wrong class 10 card cheap work great may buy another one spare,14
201,4,fast reliable plenty size money run sandisk memory zone read 22 29 mbps quite 30 supposedly rat lot apps instal run device,22
202,4,good memory card gift give junior partner receive beautiful beautiful package receive big surprise know evaluate,16
203,4,good value money class ten rat card fast speed good manufacturer,11
204,4,get note 101 great able pop computer via adapter load large amount picture back tablet kinda wish get larger capacity one,21
